"1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48,42,NA,49,NA,35,31,32,50
33,NA,29,24,28,21,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
22,NA,35,20,26,NA,35,22,25,27,27,30,17,15,NA,38,39,39,42,32,48,38,35,NA
NA,NA,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,NA,44,37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,41,43,NA,48,44,48,36,41,37,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
39,30,28,38,NA,32,27,27,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
23,21,22,20,24,19,40,23,25,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
37,35,35,28,43,30,28,25,27,21,21,24,27,36,41,46,NA,NA,NA,NA,NA,NA,NA,NA
32,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20,NA,44,NA,37,36,27,28,35,30,38,33,32,29,36,43,35,41,NA,NA,NA,NA,NA,NA
30,40,39,26,34,37,NA,NA,34,23,22,27,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
49,39,32,30,31,25,NA,25,34,23,25,30,30,NA,34,41,36,32,31,NA,NA,NA,NA,NA
42,39,33,NA,41,NA,NA,30,31,28,25,28,37,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,31,24,31,31,30,28,34,27,22,25,29,30,29,43,NA,NA,NA,NA,NA,NA,NA,NA,NA
30,24,28,25,NA,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
33,32,28,30,33,31,27,33,37,25,25,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40,40,48,36,NA,NA,NA,NA,NA,NA,NA
30,29,NA,29,26,25,24,24,25,29,25,28,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
41,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,28,19,5,18,36,19,27,18,29,27,NA,37,34,30,26,37,37,36,38,31
NA,NA,NA,NA,39,NA,NA,NA,25,17,20,24,30,24,NA,45,47,39,34,34,36,28,46,39
NA,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA
