"YEAR","FEMALE_ID","J_CID"
1992,19,22
1992,201,22
1992,41,23
1992,38,26
1992,66,30
1992,87,30
1992,76,30
1992,57,32
1992,75,33
1992,14,33
1992,83,33
1992,55,37
1992,40,39
1992,33,41
1992,96,41
1992,73,42
1992,67,49
1992,62,20
1993,41,21
1993,76,24
1993,96,26
1993,57,28
1993,87,29
1993,40,30
1993,75,31
1993,83,32
1993,55,35
1993,73,39
1993,67,39
1993,66,40
1993,36,41
1993,124,42
1994,41,22
1994,75,24
1994,209,24
1994,40,28
1994,76,28
1994,127,29
1994,14,29
1994,83,28
1994,67,32
1994,73,33
1994,55,35
1994,201,35
1994,19,35
1994,136,37
1994,66,39
1994,22,40
1994,36,43
1994,62,44
1994,33,44
1995,209,10
1995,166,16
1995,19,20
1995,41,20
1995,136,20
1995,14,24
1995,131,24
1995,76,25
1995,66,26
1995,201,28
1995,55,28
1995,87,29
1995,67,30
1995,83,30
1995,75,31
1995,33,37
1995,40,38
1996,41,24
1996,517,25
1996,87,26
1996,19,26
1996,104,28
1996,209,28
1996,14,28
1996,166,31
1996,75,31
1996,67,31
1996,83,33
1996,136,34
1996,155,34
1996,66,34
1996,509,36
1996,62,37
1996,181,35
1996,107,39
1996,73,41
1996,55,43
1996,NA,43
1996,36,48
1997,104,19
1997,41,19
1997,14,21
1997,209,22
1997,166,23
1997,517,23
1997,87,25
1997,67,25
1997,509,27
1997,55,30
1997,75,30
1997,136,31
1997,76,31
1997,83,31
1997,40,32
1997,155,32
1997,103,34
1997,62,36
1997,66,37
1997,36,44
1998,104,5
1998,209,11
1998,179,13
1998,166,17
1998,NA,21
1998,169,22
1998,201,23
1998,87,24
1998,509,26
1998,40,27
1998,83,27
1998,517,27
1998,136,27
1998,62,27
1998,55,28
1998,75,28
1998,NA,28
1998,NA,29
1998,19,35
1998,156,37
1998,505,40
1998,41,40
1998,550,40
1998,36,48
1998,NA,54
1998,91,56
1998,NA,58
1999,201,14
1999,104,18
1999,179,18
1999,166,19
1999,209,21
1999,517,22
1999,19,22
1999,141,22
1999,41,23
1999,87,24
1999,55,25
1999,67,25
1999,40,27
1999,169,27
1999,62,28
1999,73,30
1999,549,31
1999,NA,33
1999,83,33
1999,NA,34
1999,75,34
1999,NA,35
1999,NA,35
1999,555,36
1999,36,36
1999,509,37
2000,201,22
2000,209,23
2000,509,24
2000,41,25
2000,169,25
2000,87,25
2000,107,25
2000,549,25
2000,19,25
2000,55,27
2000,75,27
2000,166,27
2000,555,27
2000,557,27
2000,532,29
2000,73,31
2000,517,29
2000,550,33
2000,67,34
2000,66,34
2000,14,35
2000,62,35
2000,104,36
2000,83,37
2000,181,37
2000,516,37
2000,NA,35
2000,136,39
2000,NA,39
2000,NA,41
2000,36,41
2001,107,17
2001,104,19
2001,169,20
2001,166,21
2001,55,21
2001,555,22
2001,75,22
2001,67,23
2001,66,23
2001,509,24
2001,209,24
2001,40,25
2001,83,25
2001,557,25
2001,19,27
2001,161,28
2001,201,28
2001,517,28
2001,73,28
2001,87,29
2001,532,29
2001,141,30
2001,62,30
2001,516,30
2001,549,32
2001,550,33
2001,505,33
2001,136,33
2001,36,37
2001,539,39
2002,555,19
2002,41,20
2002,107,20
2002,55,21
2002,66,22
2002,509,23
2002,169,23
2002,87,25
2002,67,25
2002,83,25
2002,75,25
2002,539,25
2002,73,25
2002,19,27
2002,549,27
2002,104,27
2002,532,28
2002,550,29
2002,181,29
2002,136,30
2002,517,30
2002,209,33
2002,NA,34
2002,516,34
2002,505,36
2002,62,38
2002,36,41
2003,104,18
2003,555,19
2003,156,21
2003,107,24
2003,55,24
2003,530,25
2003,136,26
2003,181,26
2003,66,27
2003,539,27
2003,532,27
2003,87,28
2003,169,28
2003,73,28
2003,549,29
2003,75,29
2003,505,29
2003,209,30
2003,516,30
2003,67,30
2003,19,30
2003,166,31
2003,550,32
2003,83,32
2003,62,33
2003,129,35
2003,531,36
2003,572,36
2003,509,37
2003,NA,38
2003,552,40
2003,NA,41
2003,517,41
2004,19,17
2004,181,22
2004,568,25
2004,55,27
2004,136,27
2004,169,27
2004,575,29
2004,104,29
2004,75,30
2004,107,30
2004,87,30
2004,532,30
2004,67,30
2004,204,31
2004,66,32
2004,505,32
2004,549,32
2004,62,32
2004,209,33
2004,572,33
2004,550,34
2004,156,34
2004,7559,37
2004,172,37
2004,509,37
2004,73,37
2004,7517,38
2004,141,38
2004,166,39
2004,531,40
2004,555,40
2004,517,42
2004,506,44
2004,7511,44
