Species,Taxon,Publication,Metric,Skew
Mertensia fusiformis,Plant,Thomson 1980,Flowers,0.433
Mertensia ciliata,Plant,Thomson 1980,Flowers,0.488
Campanula rotundifolia,Plant,Thomson 1980,Flowers,0.563
Campanula rotundifolia,Plant,Thomson 1980,Flowers,0.506
Achillea millefolium,Plant,Thomson 1980,Composite heads,0.234
Achillea millefolium,Plant,Thomson 1980,Composite heads,0.316
Achillea millefolium,Plant,Thomson 1980,Composite heads,0.542
Achillea millefolium,Plant,Thomson 1980,Composite heads,0.55
Agoseris clauca,Plant,Thomson 1980,Composite heads,0.425
Agoseris clauca,Plant,Thomson 1980,Composite heads,0.483
Arnica mollis,Plant,Thomson 1980,Composite heads,0.425
Arnica mollis,Plant,Thomson 1980,Composite heads,0.483
Chrysopsis villosa,Plant,Thomson 1980,Composite heads,0.207
Chrysopsis villosa,Plant,Thomson 1980,Composite heads,0.287
Erigeron coulteri,Plant,Thomson 1980,Composite heads,1.147
Erigeron coulteri,Plant,Thomson 1980,Composite heads,0.713
Erigeron elatior,Plant,Thomson 1980,Composite heads,0.572
Erigeron elatior,Plant,Thomson 1980,Composite heads,0.378
Erigeron peregrinus,Plant,Thomson 1980,Composite heads,1.283
Erigeron peregrinus,Plant,Thomson 1980,Composite heads,1.12
Erigeron speciousus,Plant,Thomson 1980,Composite heads,0.44
Erigeron speciousus,Plant,Thomson 1980,Composite heads,0.638
Erigeron speciousus,Plant,Thomson 1980,Composite heads,0.651
Helenium hoopesii,Plant,Thomson 1980,Composite heads,0.703
Helenium hoopesii,Plant,Thomson 1980,Composite heads,0.578
Helianthella quinquenervis,Plant,Thomson 1980,Composite heads,0.331
Helianthella quinquenervis,Plant,Thomson 1980,Composite heads,0.397
Senecio crassulus,Plant,Thomson 1980,Composite heads,0.407
Solidago multiradiata,Plant,Thomson 1980,Composite heads,0.481
Taraxacum officinale,Plant,Thomson 1980,Composite heads,0.893
Viguiera multiflora,Plant,Thomson 1980,Composite heads,0.022
Viguiera multiflora,Plant,Thomson 1980,Composite heads,0.141
Arabis drummondii,Plant,Thomson 1980,Flowers,2.795
Arabis drummondii,Plant,Thomson 1980,Flowers,1.71
Draba nemorosa,Plant,Thomson 1980,Flowers,0.411
Draba nemorosa,Plant,Thomson 1980,Flowers,0.205
Draba spectabilis,Plant,Thomson 1980,Flowers,0.355
Erysimum asperum,Plant,Thomson 1980,Flowers,1.089
Thlaspi alpestre,Plant,Thomson 1980,Flowers,0.845
Geranium richardsonii,Plant,Thomson 1980,Flowers,0.243
Frasera speciosa,Plant,Thomson 1980,Flowers,0.417
Gentiana calycosa,Plant,Thomson 1980,Flowers,-0.176
Gentiana calycosa,Plant,Thomson 1980,Flowers,-0.53
Gentiana amarella,Plant,Thomson 1980,Flowers,0.811
Gentiana amarella,Plant,Thomson 1980,Flowers,0.562
Astragalus sp.,Plant,Thomson 1980,Flowers,0.332
Lathyrus leucanthus,Plant,Thomson 1980,Flowers,0.035
Lupinus amplus,Plant,Thomson 1980,Flowers,0.425
Lupinus amplus,Plant,Thomson 1980,Flowers,0.346
Vicia americana,Plant,Thomson 1980,Flowers,0.87
Erythronium grandiflorum,Plant,Thomson 1980,Flowers,1.154
Linum lewisii,Plant,Thomson 1980,Flowers,0.432
Linum lewisii,Plant,Thomson 1980,Flowers,0.914
Ipomopsis aggregata,Plant,Thomson 1980,Flowers,0.404
Androsace septentrionalis,Plant,Thomson 1980,Flowers,0.748
