"YEAR","J_CID"
1986,28
1986,29
1986,32
1986,32
1986,24
1986,29
1986,30
1986,33
1986,41
1986,27
1986,27
1986,31
1986,32
1986,35
1986,26
1986,26
1986,28
1986,28
1986,29
1986,28
1986,32
1986,33
1986,34
1986,27
1986,28
1986,33
1986,37
1986,28
1986,28
1986,31
1986,31
1986,34
1986,26
1986,26
1986,28
1986,29
1986,32
1986,28
1986,29
1986,29
1986,30
1986,32
1986,25
1986,26
1986,27
1986,28
1986,30
1986,30
1986,30
1986,27
1986,28
1986,29
1986,30
1986,30
1986,23
1986,28
1986,28
1986,29
1986,31
1986,26
1986,28
1986,30
1986,31
1986,32
1986,26
1986,28
1986,28
1986,29
1986,32
1986,27
1986,28
1986,28
1986,30
1986,32
1986,27
1986,29
1986,34
1986,38
1986,38
1986,26
1986,33
1986,34
1986,34
1986,35
1986,26
1986,30
1986,31
1986,25
1986,30
1986,30
1986,27
1986,29
1986,29
1986,31
1986,32
1987,30
1987,36
1987,40
1987,43
1987,32
1987,33
1987,34
1987,34
1987,35
1987,29
1987,33
1987,34
1987,30
1987,30
1987,34
1987,36
1987,37
1987,29
1987,30
1987,30
1987,32
1987,35
1987,31
1987,34
1987,34
1987,35
1987,36
1987,33
1987,33
1987,33
1987,35
1987,36
1987,32
1987,32
1987,36
1987,40
1987,32
1987,32
1987,36
1987,37
1987,40
1987,33
1987,40
1987,29
1987,31
1987,32
1987,31
1987,32
1987,36
1987,37
1987,40
1987,30
1987,32
1987,32
1987,33
1987,35
1987,29
1987,31
1987,34
1987,40
1987,32
1987,34
1987,35
1987,35
1987,38
1987,28
1987,28
1987,30
1987,30
1987,32
1987,34
1987,34
1987,35
1987,35
1987,30
1987,33
1987,33
1987,34
1987,31
1987,33
1987,33
1987,34
1987,29
1987,31
1987,35
1987,32
1987,34
1987,35
1987,31
1987,32
1987,32
1987,33
1987,34
1988,30
1988,30
1988,34
1988,38
1988,38
1988,27
1988,27
1988,29
1988,30
1988,33
1988,25
1988,28
1988,26
1988,28
1988,28
1988,33
1988,24
1988,26
1988,28
1988,30
1988,26
1988,26
1988,27
1988,27
1988,31
1988,25
1988,27
1988,28
1988,28
1988,30
1988,30
1988,25
1988,27
1988,30
1988,30
1988,33
1988,34
1988,24
1988,26
1988,27
1988,29
1988,30
1988,24
1988,24
1988,24
1988,25
1988,25
1988,29
1988,29
1988,26
1988,28
1988,29
1988,29
1988,24
1988,24
1988,25
1988,26
1988,27
1988,27
1988,24
1988,24
1988,27
1988,27
1988,32
1988,24
1988,25
1988,29
1988,31
1988,32
1988,25
1988,25
1988,26
1988,26
1988,27
1988,26
1988,26
1988,27
1988,27
1988,40
1988,27
1988,27
1988,31
1988,33
1988,37
1988,32
1988,34
1988,42
1988,28
1988,29
1988,30
1988,32
1988,37
1988,27
1988,29
